date,firm,n,sd,source,FIPDLFI,IdV,LN,UdC,LADESTRA,PD,M5S,FdI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI
8/27/18,Piepoli,NA,NA,https://www.giornalettismo.com/archives/2674671/sondaggi-lega-m5s-sorpasso,12,,30,,,15,29,3,,,,,,,,
8/27/18,Lorien,500,0.041,https://scenaripolitici.com/2018/09/sondaggio-lorien-consulting-27-agosto-2018.html,8.7,,31.7,,,16.8,26.8,4.6,,,,,3.7,2.5,,0.3
9/2/18,Bidimedia,887,0.03,http://sondaggibidimedia.com/sondaggio-bidimedia-6-settembre-sorpasso/,8.1,,29.5,,,17.8,28.7,3.3,,,,,3,2.4,,1
9/3/18,SWG,1500,0.024,https://www.huffingtonpost.it/2018/09/03/salvini-nei-sondaggi-vola-oltre-il-32-e-stacca-di-maio_a_23515409/?utm_hp_ref=it-homepage,6.9,,32.2,,,17.7,28.3,4.1,,,,,2.4,2.6,,
9/3/18,Noto,1000,0.029,https://www.quotidiano.net/politica/sondaggio-lega-m5s-1.4136018,9,,34,,,17,27,3,,,,,3.5,1,,0.5
9/4/18,Tecnè,800,0.032,http://www.t-mag.it/2018/09/05/sondaggio-tecne-intenzioni-di-voto-lega-primo-partito/,10.9,,30.1,,,17.5,29.8,3.7,,,,,1.8,,,
9/6/18,Tecnè,1000,0.028,http://www.t-mag.it/2018/09/07/sondaggio-tecne-intenzioni-di-voto-la-lega-continua-a-crescere/,11,,30.3,,,17.6,29.5,3.5,,,,,2,,,
9/6/18,Noto,1000,0.029,https://scenaripolitici.com/2018/09/sondaggio-noto-10-settembre-2018.html,9,,34,,,17,27,3,,,,,3.5,1,,0.5
9/6/18,Ipsos,1000,0.029,https://www.corriere.it/politica/18_settembre_08/lega-scelta-335percento-elettori-1dbdbecc-b2de-11e8-af77-790d0c049f1d.shtml,8.7,,33.5,,,17,30,2.5,,,,,2.4,2.4,,0.2
9/6/18,Gpf,NA,NA,https://www.termometropolitico.it/1321795_sondaggi-elettorali-gpf-3.html,11.3,,30.8,,,15.5,31.8,4.4,,,,,2.5,1.6,,
9/7/18,Scenari Politici �_Winpoll,1500,0.024,https://scenaripolitici.com/2018/09/sondaggio-scenari-politici-winpoll-7-settembre-2018.html,7.2,,35,,,20.8,26.4,4.1,,,,,2.3,1.9,,0.5
9/9/18,EMG,1520,0.023,https://www.termometropolitico.it/1323331_sondaggi-elettorali-emg-23.html,8.5,,30.5,,,17,28.9,3.7,,,,,2.8,1.6,,1
9/10/18,SWG,1500,0.024,http://tg.la7.it/politica/il-sondaggio-politico-di-luned%C3%AC-10-settembre-2018-10-09-2018-131198,7.6,,32.1,,,17.3,27.9,3.9,,,,,2.3,2.4,,
9/10/18,Piepoli,510,0.04,https://www.termometropolitico.it/1323335_sondaggi-elettorali-euromedia-piepoli-opinioni-diverse-sui-rapporti-di-forza-tra-lega-e-m5s.html,10,,30,,,17,30,3.5,,,,,2,2,,0.5
9/10/18,Euromedia,800,0.032,https://www.termometropolitico.it/1323335_sondaggi-elettorali-euromedia-piepoli-opinioni-diverse-sui-rapporti-di-forza-tra-lega-e-m5s.html,10.7,,32,,,16.9,28.3,3.5,,,,,2.8,2,,0.4
9/11/18,Noto,NA,,https://www.facebook.com/Cartabiancarai3/posts/2189660121278710,10,,34,,,16.5,27,3,,,,,,1.5,,0.5
9/12/18,Demopolis,1500,0.024,http://www.demopolis.it/?p=5432,8.5,,32,,,17,30.2,3,,,,,2.3,,,
9/13/18,Demos,1002,0.028,http://www.demos.it/a01532.php,8.7,,30.2,,,17.3,29.4,2.7,,,,,2.9,2.6,,
9/15/18,Tecnè,1000,0.029,https://www.termometropolitico.it/1325441_sondaggi-elettorali-tecne-lega-aumenta-il-suo-vantaggio-sul-m5s.html,10.8,,31.2,,,17.4,29.1,3.4,,,,,2.3,,,
9/17/18,SWG,1500,0.024,http://tg.la7.it/politica/il-sondaggio-politico-di-luned%C3%AC-17-settembre-2018-17-09-2018-131402,7,,31.6,,,16.9,28.7,4.3,,,,,2.5,2.6,,
9/17/18,Piepoli,510,0.04,http://www.sondaggipoliticoelettorali.it/ListaSondaggi.aspx,10.5,,30,,,17,30,3.5,,,,,2.5,2,,0.5
9/17/18,Euromedia,800,0.032,http://www.sondaggipoliticoelettorali.it/ListaSondaggi.aspx,10.5,,32.6,,,16.5,28.2,3.3,,,,,2.6,2.2,,0.4
9/18/18,Noto,NA,NA,https://www.facebook.com/Cartabiancarai3/posts/2193287770915945,9,,34,,,15,28,4,,,,,3.5,1.5,,0.4
9/19/18,Index,800,0.032,https://www.facebook.com/PiazzapulitaLA7/posts/2134027549950125,8.8,,30.5,,,17.8,28.9,3.1,,,,,2.8,2,,
9/19/18,Gpf,NA,NA,https://www.termometropolitico.it/1325781_sondaggi-elettorali-gpf-3.html,10.5,,30.4,,,15.3,31.3,4.2,,,,,2.6,1.9,,0.3
9/21/18,Ixè,1000,0.029,https://www.istitutoixe.it/2018/09/22/intenzioni-di-voto-settembre-2018/,9,,31.2,,,18.2,27.6,2.4,,,,,2.5,2.6,,0.3
9/22/18,Scenari Politici �_Winpoll,1500,0.024,https://scenaripolitici.com/2018/09/sondaggio-scenari-politici-winpoll-22-settembre-2018.html,8,,34.7,,,19.8,26.9,3.8,,,,,2.1,2.1,,0.8
9/23/18,Tecnè,1000,0.029,http://www.t-mag.it/2018/09/25/sondaggio-tecne-la-lega-si-conferma-primo-partito-in-crescita-anche-il-m5s/,10.9,,32.2,,,16.9,29.2,3.3,,,,,2.1,,,0.4
9/23/18,Gpf,801,0.032,http://www.affaritaliani.it/static/upl2018_restyle/vox_/vox_popupli_07_leader_mondiali--def.pdf?refresh_cens,10.9,,29.9,,,15.1,31.5,4.7,,,,,2.7,2.2,,0.2
9/23/18,EMG,1469,0.024,https://www.termometropolitico.it/1329098_sondaggi-elettorali-emg-24.html,8.1,,32.3,,,16.3,28.8,3.4,,,,,3.2,1.2,,0.7
9/24/18,SWG,1500,0.024,http://tg.la7.it/sondaggi/il-sondaggio-politico-di-luned%C3%AC-24-settembre-2018-24-09-2018-131616,8.3,,32,,,16.3,28.6,3.7,,,,,2.4,2.5,,
9/25/18,Noto,NA,,https://www.termometropolitico.it/1328501_sondaggi-elettorali-noto-15.html,9,,34,,,16,28,4,,,,,3,2,,0.5
9/26/18,Index,800,0.032,https://www.termometropolitico.it/1329537_sondaggi-elettorali-index-m5s-2.html,8.9,,31.2,,,17.5,28.7,3.1,,,,,2.7,2,,
